Linux 2.6.31-302-rs (flip-edesign) 	11/06/10

00:00:01          CPU     %user     %nice   %system   %iowait    %steal     %idle
00:10:01          all      0.03      0.00      0.05      0.07      0.06     99.79
00:20:01          all      0.01      0.00      0.04      0.03      0.05     99.88
00:30:01          all      0.03      0.00      0.03      0.07      0.04     99.82
00:40:01          all      0.03      0.00      0.03      0.06      0.03     99.84
00:50:01          all      0.01      0.00      0.04      0.02      0.07     99.87
01:00:01          all      0.01      0.00      0.04      0.01      0.07     99.87
01:10:01          all      0.05      0.00      0.06      0.08      0.08     99.73
01:20:01          all      0.02      0.00      0.03      0.04      0.04     99.87
01:30:01          all      0.03      0.00      0.03      0.04      0.03     99.87
01:40:01          all      0.03      0.00      0.03      0.04      0.03     99.87
01:50:01          all      0.01      0.00      0.03      0.01      0.05     99.90
02:00:01          all      0.02      0.00      0.04      0.03      0.06     99.85
02:10:01          all      0.02      0.00      0.05      0.03      0.07     99.83
02:20:01          all      0.01      0.00      0.04      0.03      0.07     99.85
02:30:01          all      0.01      0.00      0.04      0.02      0.08     99.86
02:40:01          all      0.02      0.00      0.03      0.03      0.06     99.86
02:50:01          all      0.04      0.00      0.04      0.02      0.06     99.84
03:00:01          all      0.02      0.00      0.04      0.02      0.05     99.87
03:10:01          all      0.02      0.00      0.05      0.04      0.07     99.82
03:20:01          all      0.05      0.00      0.03      0.03      0.04     99.85
03:30:01          all      0.01      0.00      0.04      0.02      0.05     99.89
03:40:01          all      0.05      0.00      0.04      0.02      0.02     99.87
03:50:01          all      0.02      0.00      0.04      0.06      0.05     99.82
04:00:01          all      0.02      0.00      0.04      0.02      0.05     99.88
04:10:01          all      0.05      0.00      0.10      3.68      0.10     96.07
04:20:01          all      0.00      0.00      0.03      0.03      0.02     99.92
04:30:01          all      0.03      0.00      0.04      0.13      0.05     99.74
04:40:01          all      0.02      0.00      0.03      0.03      0.05     99.87
04:50:01          all      0.00      0.00      0.04      0.01      0.04     99.90
05:00:01          all      0.01      0.00      0.04      0.01      0.05     99.90
05:10:01          all      0.02      0.00      0.05      0.09      0.07     99.77
05:20:01          all      0.02      0.00      0.05      0.05      0.06     99.83
05:30:01          all      0.01      0.00      0.03      0.05      0.02     99.89
05:40:01          all      0.03      0.00      0.03      0.05      0.05     99.83
05:50:01          all      0.02      0.00      0.04      0.02      0.08     99.84
06:00:01          all      0.01      0.00      0.04      0.02      0.04     99.89
06:10:01          all      0.03      0.00      0.05      0.03      0.05     99.83
06:20:01          all      0.02      0.00      0.04      0.21      0.05     99.68
06:30:01          all      0.01      0.00      0.04      0.05      0.04     99.86
06:40:01          all      0.02      0.00      0.03      0.02      0.03     99.89
06:50:01          all      0.01      0.00      0.03      0.02      0.05     99.89
07:00:01          all      0.01      0.00      0.04      0.06      0.02     99.87
07:10:01          all      0.04      0.00      0.05      0.05      0.09     99.77
07:20:01          all      0.01      0.00      0.04      0.03      0.06     99.87
07:30:01          all      0.02      0.00      0.04      0.03      0.05     99.86
07:40:01          all      0.02      0.00      0.04      0.03      0.03     99.88
07:50:01          all      0.01      0.00      0.03      0.02      0.06     99.88
08:00:01          all      0.00      0.00      0.03      0.01      0.05     99.90
08:10:01          all      0.02      0.00      0.05      0.04      0.05     99.83
08:20:01          all      0.03      0.00      0.04      0.04      0.05     99.83
08:30:01          all      0.03      0.00      0.04      0.05      0.05     99.83
08:40:01          all      0.02      0.00      0.03      0.10      0.03     99.81
08:50:01          all      0.02      0.00      0.04      0.07      0.05     99.82
09:00:02          all      0.01      0.00      0.04      0.02      0.05     99.88
09:10:01          all      0.02      0.00      0.06      0.02      0.04     99.86
09:20:01          all      0.02      0.00      0.03      0.02      0.06     99.88
09:30:01          all      0.00      0.00      0.04      0.01      0.05     99.90
09:40:01          all      0.03      0.00      0.03      0.04      0.02     99.88
09:50:01          all      0.01      0.00      0.04      0.04      0.06     99.86
10:00:01          all      0.01      0.00      0.04      0.08      0.04     99.83
10:10:01          all      0.15      0.00      0.11      0.21      0.11     99.41
10:20:01          all      0.21      0.00      0.13      0.08      0.04     99.53
10:30:01          all      0.24      0.00      0.15      0.15      0.09     99.39
10:40:01          all      0.22      0.00      0.09      0.05      0.07     99.57
10:50:01          all      0.03      0.00      0.04      0.03      0.05     99.86
11:00:01          all      0.09      0.00      0.06      0.07      0.05     99.73
11:10:01          all      0.07      0.00      0.07      0.06      0.04     99.76
11:20:01          all      0.04      0.00      0.05      0.09      0.06     99.77
11:30:01          all      0.03      0.00      0.04      0.06      0.07     99.80
Average:          all      0.03      0.00      0.05      0.10      0.05     99.77
