Linux 2.6.31-302-rs (flip-edesign) 	11/06/10

00:00:01      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15
00:10:01            2       183      0.00      0.00      0.00
00:20:01            2       183      0.00      0.00      0.00
00:30:01            2       181      0.00      0.00      0.00
00:40:01            2       182      0.00      0.00      0.00
00:50:01            1       181      0.00      0.00      0.00
01:00:01            5       186      0.00      0.00      0.00
01:10:01            2       182      0.00      0.00      0.00
01:20:01            2       185      0.00      0.00      0.00
01:30:01            4       184      0.00      0.00      0.00
01:40:01            1       184      0.00      0.00      0.00
01:50:01            2       182      0.00      0.00      0.00
02:00:01            7       186      0.00      0.00      0.00
02:10:01            2       182      0.16      0.03      0.01
02:20:01            4       187      0.00      0.00      0.00
02:30:01            2       180      0.00      0.00      0.00
02:40:01            3       182      0.00      0.00      0.00
02:50:01            1       181      0.00      0.00      0.00
03:00:01            6       189      0.00      0.00      0.00
03:10:01            3       183      0.00      0.00      0.00
03:20:01            1       181      0.00      0.00      0.00
03:30:01            1       182      0.00      0.00      0.00
03:40:01            3       186      0.00      0.00      0.00
03:50:01            3       183      0.00      0.00      0.00
04:00:01            8       191      0.00      0.00      0.00
04:10:01            1       182      0.00      0.08      0.06
04:20:01            3       183      0.00      0.00      0.01
04:30:01            0       182      0.00      0.00      0.00
04:40:01            3       182      0.00      0.00      0.00
04:50:01            2       181      0.00      0.00      0.00
05:00:01            2       182      0.00      0.00      0.00
05:10:01            2       181      0.00      0.00      0.00
05:20:01            2       182      0.00      0.00      0.00
05:30:01            1       182      0.00      0.00      0.00
05:40:01            0       181      0.00      0.00      0.00
05:50:01            3       182      0.00      0.00      0.00
06:00:01            9       186      0.00      0.00      0.00
06:10:01            4       182      0.00      0.00      0.00
06:20:01            4       187      0.00      0.00      0.00
06:30:01            2       182      0.00      0.00      0.00
06:40:01            3       182      0.00      0.00      0.00
06:50:01            1       182      0.00      0.00      0.00
07:00:01            7       187      0.00      0.00      0.00
07:10:01            3       182      0.00      0.01      0.00
07:20:01            2       181      0.03      0.01      0.00
07:30:01            2       181      0.00      0.00      0.00
07:40:01            3       185      0.00      0.00      0.00
07:50:01            0       181      0.00      0.00      0.00
08:00:01            9       186      0.00      0.00      0.00
08:10:01            1       182      0.00      0.00      0.00
08:20:01            2       181      0.00      0.00      0.00
08:30:01            1       181      0.00      0.00      0.00
08:40:01            3       181      0.00      0.00      0.00
08:50:01            1       182      0.00      0.00      0.00
09:00:02            5       183      0.00      0.00      0.00
09:10:01            1       182      0.00      0.00      0.00
09:20:01            3       182      0.00      0.00      0.00
09:30:01            2       182      0.00      0.00      0.00
09:40:01            0       181      0.00      0.00      0.00
09:50:01            0       181      0.00      0.00      0.00
10:00:01            3       185      0.00      0.00      0.00
10:10:01            0       184      0.00      0.00      0.00
10:20:01            1       184      0.06      0.02      0.00
10:30:01            1       185      0.01      0.01      0.00
10:40:01            3       186      0.00      0.00      0.00
10:50:01            5       189      0.00      0.00      0.00
11:00:01            3       185      0.00      0.00      0.00
11:10:01            1       183      0.00      0.00      0.00
11:20:01            1       185      0.00      0.00      0.00
11:30:01            1       185      0.00      0.00      0.00
Average:            3       183      0.00      0.00      0.00
