00:00:01        IFACE   rxpck/s   txpck/s   rxbyt/s   txbyt/s   rxcmp/s   txcmp/s  rxmcst/s
00:10:01         eth0      0.29      0.21     24.93    192.43      0.00      0.00      0.00
00:20:01         eth0      0.26      0.19     22.12     52.65      0.00      0.00      0.00
00:30:01         eth0      0.36      0.28     33.42    236.78      0.00      0.00      0.00
00:40:01         eth0      0.35      0.24     29.45    264.70      0.00      0.00      0.00
00:50:01         eth0      0.26      0.21     23.40     60.83      0.00      0.00      0.00
01:00:01         eth0      0.22      0.19     21.13     29.86      0.00      0.00      0.00
01:10:01         eth0      0.39      0.28     35.40    272.04      0.00      0.00      0.00
01:20:01         eth0      0.26      0.22     24.28    186.43      0.00      0.00      0.00
01:30:01         eth0      0.29      0.24     28.64    111.52      0.00      0.00      0.00
01:40:01         eth0      0.29      0.21     24.25    197.53      0.00      0.00      0.00
01:50:01         eth0      0.20      0.16     18.33     19.82      0.00      0.00      0.00
02:00:01         eth0      0.27      0.21     25.00    103.93      0.00      0.00      0.00
02:10:01         eth0      0.29      0.20     24.28    133.82      0.00      0.00      0.00
02:20:01         eth0      0.24      0.19     21.94     55.58      0.00      0.00      0.00
02:30:01         eth0      0.28      0.22     24.86     70.35      0.00      0.00      0.00
02:40:01         eth0      0.26      0.19     22.30    132.30      0.00      0.00      0.00
02:50:01         eth0      0.47      0.35     45.20    420.77      0.00      0.00      0.00
03:00:01         eth0      0.26      0.19     22.99     43.59      0.00      0.00      0.00
03:10:01         eth0      0.27      0.19     23.37    134.07      0.00      0.00      0.00
03:20:01         eth0      0.40      0.31     55.03    294.04      0.00      0.00      0.00
03:30:01         eth0      0.28      0.20     24.44     49.62      0.00      0.00      0.00
03:40:01         eth0      0.40      0.28     32.19    364.01      0.00      0.00      0.00
03:50:01         eth0      0.49      0.38     47.98    320.15      0.00      0.00      0.00
04:00:01         eth0      0.25      0.21     24.36     96.22      0.00      0.00      0.00
04:10:01         eth0      0.32      0.22     26.92    246.13      0.00      0.00      0.00
04:20:01         eth0      0.20      0.17     18.70     19.75      0.00      0.00      0.00
04:30:01         eth0      0.34      0.26     32.90    166.93      0.00      0.00      0.00
04:40:01         eth0      0.34      0.22     28.26    293.47      0.00      0.00      0.00
04:50:01         eth0      0.20      0.16     18.44     19.90      0.00      0.00      0.00
05:00:01         eth0      0.20      0.16     18.40     19.48      0.00      0.00      0.00
05:10:01         eth0      0.28      0.21     27.56    139.37      0.00      0.00      0.00
05:20:01         eth0      0.31      0.25     29.06    185.38      0.00      0.00      0.00
05:30:01         eth0      0.29      0.21     25.10     61.11      0.00      0.00      0.00
05:40:01         eth0      0.44      0.29     38.19    324.88      0.00      0.00      0.00
05:50:01         eth0      0.30      0.23     27.19    175.64      0.00      0.00      0.00
06:00:01         eth0      0.27      0.20     23.54    118.11      0.00      0.00      0.00
06:10:01         eth0      0.31      0.21     25.95    159.79      0.00      0.00      0.00
06:20:01         eth0      0.59      0.46     61.54    922.74      0.00      0.00      0.00
06:30:01         eth0      0.32      0.25     29.06    147.78      0.00      0.00      0.00
06:40:01         eth0      0.33      0.23     28.65    219.53      0.00      0.00      0.00
06:50:01         eth0      0.20      0.17     18.47     19.93      0.00      0.00      0.00
07:00:01         eth0      0.22      0.17     20.56     24.09      0.00      0.00      0.00
07:10:01         eth0      0.42      0.31     41.22    345.77      0.00      0.00      0.00
07:20:01         eth0      0.23      0.18     20.12     20.67      0.00      0.00      0.00
07:30:01         eth0      0.31      0.23     28.40    173.55      0.00      0.00      0.00
07:40:01         eth0      0.32      0.21     26.57    216.04      0.00      0.00      0.00
07:50:01         eth0      0.22      0.17     20.15     22.23      0.00      0.00      0.00
08:00:01         eth0      0.19      0.15     17.24     18.30      0.00      0.00      0.00
08:10:01         eth0      0.26      0.19     22.48    132.33      0.00      0.00      0.00
08:20:01         eth0      0.32      0.26     30.42    203.37      0.00      0.00      0.00
08:30:01         eth0      0.33      0.27     92.91     80.08      0.00      0.00      0.00
08:40:01         eth0      0.32      0.24     30.48    144.95      0.00      0.00      0.00
08:50:01         eth0      0.47      0.35     44.28    303.94      0.00      0.00      0.00
09:00:02         eth0      0.32      0.27     29.92    134.98      0.00      0.00      0.00
09:10:01         eth0      0.28      0.20     23.76    146.28      0.00      0.00      0.00
09:20:01         eth0      0.26      0.19     22.45    132.25      0.00      0.00      0.00
09:30:01         eth0      0.21      0.17     19.39     30.72      0.00      0.00      0.00
09:40:01         eth0      0.30      0.22     26.13    158.13      0.00      0.00      0.00
09:50:01         eth0      0.29      0.23     25.96    118.78      0.00      0.00      0.00
10:00:01         eth0      0.49      0.41     53.71    290.98      0.00      0.00      0.00
10:10:01         eth0      3.46      2.84    312.15   1013.95      0.00      0.00      0.00
10:20:01         eth0      4.42      3.58    427.43   1683.35      0.00      0.00      0.00
10:30:01         eth0      3.72      3.07    375.79   2376.85      0.00      0.00      0.00
10:40:01         eth0      3.51      2.92    343.46   1132.74      0.00      0.00      0.00
10:50:01         eth0      2.22      1.73    216.58    317.00      0.00      0.00      0.00
11:00:01         eth0      6.26      5.05    640.04   3231.79      0.00      0.00      0.00
11:10:01         eth0      2.97      2.34    298.32    767.67      0.00      0.00      0.00
11:20:01         eth0      4.35      3.42    419.49    843.71      0.00      0.00      0.00
11:30:01         eth0      3.50      2.70    332.04    683.44      0.00      0.00      0.00
Average:         eth0      0.76      0.60     74.19    316.42      0.00      0.00      0.00
